brands name,types,Size type,eggsize(counts),eggsize(grams),eggsize(ounces),price,sale price,deals,deals valid till,description,eggs image,location(by default)
President's Choice ,"Eggs, Omega-3",,,(88 g),,$1.29 ea,Sale Price Per Unit: $1.47 / 100 g,2 FOR $2.38,Exp. 12/31,"2 FOR $2.38
Exp. 12/31 
President's Choice  Eggs, Omega-3 (88 g)
$1.29 ea
Sale Price Per Unit: $1.47 / 100 g",https://assets.shop.loblaws.ca/products/21049546/b1/en/front/21049546_front_a01.png,"Golden mile, Regina, SK"
No Name ,Grade A White Eggs,Large,(12 Eggs),,,$2.33 ea,Sale Price Per Unit: $0.19 ea,$2.33 LIMIT 1,Exp. 11/07,"$2.33 LIMIT 1
Exp. 11/07 
No Name  Grade A White Eggs, Large (12 Eggs)
$2.33 ea
Sale Price Per Unit: $0.19 ea",https://assets.shop.loblaws.ca/products/20812144001/b1/en/front/20812144001_front_a01.png,"Golden mile, Regina, SK"
No Name ,Grade A White Eggs,Extra Large,(12 Eggs),,,$3.37 ea,Sale Price Per Unit: $0.28 ea,,,"No Name  Grade A White Eggs, Extra Large (12 Eggs)
$3.37 ea
Sale Price Per Unit: $0.28 ea",https://assets.shop.loblaws.ca/products/20812726001/b1/en/front/20812726001_front_a01.png,"Golden mile, Regina, SK"
PC ,Blue Menu Omega 3 White Eggs,,(12 Eggs),,,$3.78 ea,Sale Price Per Unit: $0.32 ea,SAVE $0.22,Exp. 11/08,"SAVE $0.22
Exp. 11/08 
PC  Blue Menu Omega 3 White Eggs (12 Eggs)
$3.78 ea $4.00
Sale Price Per Unit: $0.32 ea",https://assets.shop.loblaws.ca/products/20813961001/b1/en/front/20813961001_front_a01.png,"Golden mile, Regina, SK"
No Name ,Brown Eggs,Large,(12 Eggs),,,$3.85 ea,Sale Price Per Unit: $0.32 ea,,,"No Name  Brown Eggs, Large (12 Eggs)
$3.85 ea
Sale Price Per Unit: $0.32 ea",https://assets.shop.loblaws.ca/products/20813936001/b1/en/front/20813936001_front_a01.png,"Golden mile, Regina, SK"
PC ,Omega 3 Brown Eggs,,(12 Eggs),,,$3.98 ea,Sale Price Per Unit: $0.33 ea,SAVE $0.22,Exp. 11/08,"SAVE $0.22
Exp. 11/08 
PC  Omega 3 Brown Eggs (12 Eggs)
$3.98 ea $4.20
Sale Price Per Unit: $0.33 ea",https://assets.shop.loblaws.ca/products/20813969001/b1/en/front/20813969001_front_a01.png,"Golden mile, Regina, SK"
Naturegg ,Omega 3 White Eggs,Large,(12 Eggs),,,$4.55 ea,Sale Price Per Unit: $0.38 ea,2 FOR $8.50,Exp. 12/31,"2 FOR $8.50
Exp. 12/31 
Naturegg  Omega 3 White Eggs, Large (12 Eggs)
$4.55 ea
Sale Price Per Unit: $0.38 ea",https://assets.shop.loblaws.ca/products/20815563001/b1/en/front/20815563001_front_a01.png,"Golden mile, Regina, SK"
Foremost,Premium Large White Eggs,Large,,,(18 ea),$4.97 ea,Sale Price Per Unit: $0.28 ea,,,"Foremost  Premium Large White Eggs (18 ea)
$4.97 ea
Sale Price Per Unit: $0.28 ea",https://assets.shop.loblaws.ca/products/20976887001/b1/en/front/20976887001_front_a01.png,"Golden mile, Regina, SK"
Harman Enriched,Harman Enriched,Large,,,(18 ea),$5.18 ea,Sale Price Per Unit: $0.29 ea,SAVE $0.33,Exp. 11/08,"SAVE $0.33
Exp. 11/08 
Harman Enriched, Large (18 ea)
$5.18 ea $5.51
Sale Price Per Unit: $0.29 ea",https://assets.shop.loblaws.ca/products/NoImage/b1/en/front/NoImage_front_a01_@2.png,"Golden mile, Regina, SK"
PC ,Free Run Brown Eggs,,(12 Eggs),,,$5.35 ea,Sale Price Per Unit: $0.45 ea,2 FOR $10.00,Exp. 12/31,"2 FOR $10.00
Exp. 12/31
PC  Free Run Brown Eggs (12 Eggs)
$5.35 ea
Sale Price Per Unit: $0.45 ea",https://assets.shop.loblaws.ca/products/20813628001/b1/en/front/20813628001_front_a01.png,"Golden mile, Regina, SK"
Golden D,Golden D White Eggs,Large,(18 Eggs),,,$5.57 ea,Sale Price Per Unit: $0.31 ea,,,"Golden D White Eggs, Large (18 Eggs)
$5.57 ea
Sale Price Per Unit: $0.31 ea",https://assets.shop.loblaws.ca/products/20819807001/b1/en/front/20819807001_front_a01.png,"Golden mile, Regina, SK"
Free Bird ,Free Bird Free Range Large Eggs,Large,,,(12 ea),$5.85 ea,Sale Price Per Unit: $0.49 ea,,,"Free Bird Free Range Large Eggs (12 ea)
$5.85 ea
Sale Price Per Unit: $0.49 ea",https://assets.shop.loblaws.ca/products/21033226001/b1/en/front/21033226001_front_a01.png,"Golden mile, Regina, SK"
Free Run Eggs,Free Run Eggs,Large,,(18 g),,$5.87 ea,Sale Price Per Unit: $0.33 ea,,,"Free Run Eggs, Large (18 g)
$5.87 ea
Sale Price Per Unit: $0.33 ea",https://assets.shop.loblaws.ca/products/NoImage/b1/en/front/NoImage_front_a01_@2.png,"Golden mile, Regina, SK"
Rabbit River ,Rabbit River Large Organic Eggs,Large,(12 Eggs),,,$6.88 ea,Sale Price Per Unit: $0.57 ea,,,"Rabbit River Large Organic Eggs (12 Eggs)
$6.88 ea
Sale Price Per Unit: $0.57 ea",https://assets.shop.loblaws.ca/products/20821561001/b1/en/front/20821561001_front_a01.png,"Golden mile, Regina, SK"
PC ,Free-Range Brown Eggs,,(12 Eggs),,,$6.98 ea,Sale Price Per Unit: $0.58 ea,,,"PC  Free-Range Brown Eggs (12 Eggs)
$6.98 ea
Sale Price Per Unit: $0.58 ea",https://assets.shop.loblaws.ca/products/20813389001/b1/en/front/20813389001_front_a01.png,"Golden mile, Regina, SK"
Eggs,"Eggs, Large",Large,,,(30 ea),$7.32 ea,Sale Price Per Unit: $0.24 ea,,,"Eggs, Large (30 ea)
$7.32 ea
Sale Price Per Unit: $0.24 ea",https://assets.shop.loblaws.ca/products/NoImage/b1/en/front/NoImage_front_a01_@2.png,"Golden mile, Regina, SK"
Naturegg ,Organic Eggs,Large,,,(30 ea),$14.48 ea,Sale Price Per Unit: $0.48 ea,,,"Organic Eggs, Large (30 ea)
$14.48 ea
Sale Price Per Unit: $0.48 ea",https://assets.shop.loblaws.ca/products/20990637001/b1/en/front/20990637001_front_a01.png,"Golden mile, Regina, SK"
